X,Y,FID,Title,Type,Address,Latitude,Longitude,Artist_Last_,Artist_First,Additional_Artists,Media,Year_Created,Year_Erected,TNT_Area,Neighborhood,Specific_Location,Image_Url
-76.119129,43.0416050000001,56,Boom Babies,Mural,Westcott St and Harvard Pl,43.041605,-76.119129,,,,Paint on Cement,,,Eastside,Westcott,,
-76.118779,43.0413780000001,57,Mom's Diner Mosaic,Mosaic,110 Harvard Pl,43.041378,-76.118779,,,,"Glass, Cement, Paint",,,Eastside,Westcott,Backside of Mom's Diner,
-76.1512089999999,43.048499,58,S.ALT City,Mural,300 S. Warren Street,43.048499,-76.151209,Snyder,Brett,,Acrylic,2011,2012,Downtown,Downtown,West side of Lemp Jewelers Building,
-76.154257,43.061094,59,Lock Alley Mural,Mural,741 N Salina Street,43.061094,-76.154257,Echo,,,Acrylic,2014,2014,Northside,North Salina Street,Northwest facing wall at the rear of the building facing a parking lot,
-76.119923,43.041619,60,Reach,Mural,508-510 Westcott Street,43.041619,-76.119923,Echo,,,Acrylic,2015,2015,Eastside,Westcott,East facing wall in interior courtyard,
-76.156179,43.0484970000001,61,You've Made It,Mural,321  W Fayette Street,43.048497,-76.156179,Bocksel,Jon,,Acrylic,2016,2016,Downtown,Armory Square,West and east facing walls of 321 W Fayette St,
-76.158146,43.048973,62,Always Advance,Mural,350 W. Fayette Street,43.048973,-76.158146,Luke,Josh,Meredith Kasabian,Acrylic,2017,2017,Downtown,Armory Square,West façade of 350 W. Fayette Street,
-76.1612269999999,43.056433,63,Salmon Run Mosaic,Mural,Onondaga Creek Walk,43.056433,-76.161227,Hirsch,Jillian,,Ceramic tiles,2017,2017,Lakefront,Lakefront,Pedestrian bridge sidewall at 507 Plum Street ,
-76.1714509999999,43.0451170000001,64,Bicylce Capital of the World,Mural,214 S. Geddes Street,43.045117,-76.171451,Roberts,Jacob,,Acrylic,2018,2018,Westside,Westside,South façade of building,
-76.170632,43.046069,65,"1022 W, Fayette St Mural",Mural,1022 W. Fayette Street,43.046069,-76.170632,Stetz,Eugene,,Acrylic,2018,2018,Westside,Westside,East façade of building,
-76.1410279999999,43.048774,66,Be Yourself/Umbrellove,Mural,713 E. Fayette Street,43.048774,-76.141028,Walker ,Ally ,,Acrylic,2019,2020,Eastside,Eastside,East and west facades of building,
-76.14212,43.0719810000001,67,Diversity Lives Heree,Mural,1415 Highland Street,43.071981,-76.14212,various,,,Acrylic,2019,2020,Northside,Northside,West façade of building,
-76.1190339999999,43.041191,68,Middle Eastern Dreams,Mural,501-507 Westcott Street,43.041191,-76.119034,Odeh,Nada,,Acrylic,2020,2020,Eastside,Eastside,South façade of building,
-76.1523979999999,43.0586660000001,69,Lets Fly Syracuse,Mural ,547-53 N Salina St,43.058666,-76.152398,Colello,Jacqueline,,latex paints,2021,2021,Northside,Northside,northside of property,
-76.15657,43.0485150000001,70,Welcome Downtown,Mural,327 W. Fayette St,43.048515,-76.15657,Walker ,Ally ,,latex paints,2021,2021,Downtown,,,
-76.1997709999999,43.059561,71,Eva's Mural,Mural,1305 Milton St,43.059561,-76.199771,Colello,Jacqueline,,latex paints,2022,2022,Westside,Westside,East wall of property,
-76.1621239999999,43.0478230000001,72,And Still We Rise,Mural,509 W Fayette St,43.047823,-76.162124,Valenzuela,Cayetano,,paint,2022,2022,Westside,Westside,West façade of building,
-76.120329,43.0493690000001,73,Three Seas for Syracuse,Mural,1732 Erie Blvd E,43.049369,-76.120329,Burgevin,Daniel,,latex paints,,2022,Eastside,Eastside,West façade of the building,
-76.146012,43.0497250000001,74,This Must Be The Place,Mural,441 E. Washington Street,43.049725,-76.146012,Thomas,Cecily,,,2022,2022,Downtown,Downtown,West facing wall,
-76.1526909999999,43.0448650000001,75,Salt City Market Mural,Mural,480 S. Salina Street,43.044865,-76.152691,Linsner,Audra,,,2022,2022,Downtown,Downtown,,
-76.112995,43.0681280000001,76,We are the Village within the City,Mural,2384 James Street,43.068128,-76.112995,Bingham,Daniel,,,2022,2022,Eastwood,Eastwood,east wall of Palace Theater,
-76.150402,43.0393790000001,77,Southside Mural Project,Mural,Taylor Street Bridge St over S. Salina St,43.039379,-76.150402,Ladd,London,,Acrylic,2017,2017,Southside,Southisde,"Bridge underpass walls, both sides of S. Salina St",
-76.1485309999999,43.0476170000001,78,Syracuse Firsts,Mural,333 E Onondaga St,43.047617,-76.148531,Never,Jonas,,spray paint on cement block,,,Downtown,Downtown,East façade of Monroe Building,
-76.155383,43.0477760000001,79,24 Second Clock,Sculpture,290 West Jefferson St,43.047776,-76.155383,,,,,,2005,Downtown,Armory Square,Corner of S. Franklin & W. Jefferson,
-76.1525569999999,43.0493500000001,80,Whales Tale,Sculpture,200-14 S Salina St,43.04935,-76.152557,Nelson,Miriam,,Painted Aluminum,2003,2021,Downtown,Downtown,Perseverance Park,
